country_code,Pais,region,is_aggregate
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",False
AFR,Africa,Aggregates,True
AFE,Africa Eastern and Southern,Aggregates,True
AFW,Africa Western and Central,Aggregates,True
ALB,Albania,Europe & Central Asia,False
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",False
ASM,American Samoa,East Asia & Pacific,False
AND,Andorra,Europe & Central Asia,False
AGO,Angola,Sub-Saharan Africa ,False
ATG,Antigua and Barbuda,Latin America & Caribbean ,False
ARB,Arab World,Aggregates,True
ARG,Argentina,Latin America & Caribbean ,False
ARM,Armenia,Europe & Central Asia,False
ABW,Aruba,Latin America & Caribbean ,False
AUS,Australia,East Asia & Pacific,False
AUT,Austria,Europe & Central Asia,False
AZE,Azerbaijan,Europe & Central Asia,False
BHS,"Bahamas, The",Latin America & Caribbean ,False
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",False
BGD,Bangladesh,South Asia,False
BRB,Barbados,Latin America & Caribbean ,False
BLR,Belarus,Europe & Central Asia,False
BEL,Belgium,Europe & Central Asia,False
BLZ,Belize,Latin America & Caribbean ,False
BEN,Benin,Sub-Saharan Africa ,False
BMU,Bermuda,North America,False
BTN,Bhutan,South Asia,False
BOL,Bolivia,Latin America & Caribbean ,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,False
BWA,Botswana,Sub-Saharan Africa ,False
BRA,Brazil,Latin America & Caribbean ,False
VGB,British Virgin Islands,Latin America & Caribbean ,False
BRN,Brunei Darussalam,East Asia & Pacific,False
BGR,Bulgaria,Europe & Central Asia,False
BFA,Burkina Faso,Sub-Saharan Africa ,False
BDI,Burundi,Sub-Saharan Africa ,False
CPV,Cabo Verde,Sub-Saharan Africa ,False
KHM,Cambodia,East Asia & Pacific,False
CMR,Cameroon,Sub-Saharan Africa ,False
CAN,Canada,North America,False
CSS,Caribbean small states,Aggregates,True
CYM,Cayman Islands,Latin America & Caribbean ,False
CAF,Central African Republic,Sub-Saharan Africa ,False
CEB,Central Europe and the Baltics,Aggregates,True
TCD,Chad,Sub-Saharan Africa ,False
CHI,Channel Islands,Europe & Central Asia,False
CHL,Chile,Latin America & Caribbean ,False
CHN,China,East Asia & Pacific,False
COL,Colombia,Latin America & Caribbean ,False
COM,Comoros,Sub-Saharan Africa ,False
COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,False
COG,"Congo, Rep.",Sub-Saharan Africa ,False
CRI,Costa Rica,Latin America & Caribbean ,False
CIV,Cote d'Ivoire,Sub-Saharan Africa ,False
HRV,Croatia,Europe & Central Asia,False
CUB,Cuba,Latin America & Caribbean ,False
CUW,Curacao,Latin America & Caribbean ,False
CYP,Cyprus,Europe & Central Asia,False
CZE,Czechia,Europe & Central Asia,False
DNK,Denmark,Europe & Central Asia,False
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",False
DMA,Dominica,Latin America & Caribbean ,False
DOM,Dominican Republic,Latin America & Caribbean ,False
EAR,Early-demographic dividend,Aggregates,True
EAS,East Asia & Pacific,Aggregates,True
BEA,East Asia & Pacific (IBRD-only countries),Aggregates,True
TEA,East Asia & Pacific (IDA & IBRD countries),Aggregates,True
DEA,East Asia & Pacific (IDA-eligible countries),Aggregates,True
EAP,East Asia & Pacific (excluding high income),Aggregates,True
CEA,East Asia and the Pacific (IFC classification),Aggregates,True
ECU,Ecuador,Latin America & Caribbean ,False
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",False
SLV,El Salvador,Latin America & Caribbean ,False
GNQ,Equatorial Guinea,Sub-Saharan Africa ,False
ERI,Eritrea,Sub-Saharan Africa ,False
EST,Estonia,Europe & Central Asia,False
SWZ,Eswatini,Sub-Saharan Africa ,False
ETH,Ethiopia,Sub-Saharan Africa ,False
EMU,Euro area,Aggregates,True
ECS,Europe & Central Asia,Aggregates,True
BEC,Europe & Central Asia (IBRD-only countries),Aggregates,True
TEC,Europe & Central Asia (IDA & IBRD countries),Aggregates,True
DEC,Europe & Central Asia (IDA-eligible countries),Aggregates,True
ECA,Europe & Central Asia (excluding high income),Aggregates,True
CEU,Europe and Central Asia (IFC classification),Aggregates,True
EUU,European Union,Aggregates,True
FRO,Faroe Islands,Europe & Central Asia,False
FJI,Fiji,East Asia & Pacific,False
FIN,Finland,Europe & Central Asia,False
FCS,Fragile and conflict affected situations,Aggregates,True
FRA,France,Europe & Central Asia,False
PYF,French Polynesia,East Asia & Pacific,False
GAB,Gabon,Sub-Saharan Africa ,False
GMB,"Gambia, The",Sub-Saharan Africa ,False
GEO,Georgia,Europe & Central Asia,False
DEU,Germany,Europe & Central Asia,False
GHA,Ghana,Sub-Saharan Africa ,False
GIB,Gibraltar,Europe & Central Asia,False
GRC,Greece,Europe & Central Asia,False
GRL,Greenland,Europe & Central Asia,False
GRD,Grenada,Latin America & Caribbean ,False
GUM,Guam,East Asia & Pacific,False
GTM,Guatemala,Latin America & Caribbean ,False
GIN,Guinea,Sub-Saharan Africa ,False
GNB,Guinea-Bissau,Sub-Saharan Africa ,False
GUY,Guyana,Latin America & Caribbean ,False
HTI,Haiti,Latin America & Caribbean ,False
HPC,Heavily indebted poor countries (HIPC),Aggregates,True
HIC,High income,Aggregates,True
HND,Honduras,Latin America & Caribbean ,False
HKG,"Hong Kong SAR, China",East Asia & Pacific,False
HUN,Hungary,Europe & Central Asia,False
BHI,IBRD countries classified as high income,Aggregates,True
IBD,IBRD only,Aggregates,True
IBB,"IBRD, including blend",Aggregates,True
IBT,IDA & IBRD total,Aggregates,True
IDB,IDA blend,Aggregates,True
FXS,"IDA countries classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,True
DSF,IDA countries in Sub-Saharan Africa classified as fragile situations ,Aggregates,True
DNS,IDA countries in Sub-Saharan Africa not classified as fragile situations ,Aggregates,True
NXS,"IDA countries not classified as fragile situations, excluding Sub-Saharan Africa",Aggregates,True
IDX,IDA only,Aggregates,True
IDA,IDA total,Aggregates,True
ISL,Iceland,Europe & Central Asia,False
IND,India,South Asia,False
IDN,Indonesia,East Asia & Pacific,False
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",False
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",False
IRL,Ireland,Europe & Central Asia,False
IMN,Isle of Man,Europe & Central Asia,False
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",False
ITA,Italy,Europe & Central Asia,False
JAM,Jamaica,Latin America & Caribbean ,False
JPN,Japan,East Asia & Pacific,False
JOR,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",False
KAZ,Kazakhstan,Europe & Central Asia,False
KEN,Kenya,Sub-Saharan Africa ,False
KIR,Kiribati,East Asia & Pacific,False
PRK,"Korea, Dem. People's Rep.",East Asia & Pacific,False
KOR,"Korea, Rep.",East Asia & Pacific,False
XKX,Kosovo,Europe & Central Asia,False
